A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Genesis 31:43-54,Laban and Jacob Make a Covenant at Mizpah,Laban and Jacob celebrate the covenant between them on the evening of the seventh day. They spend the night on the mountain and Laban returns home the next morning. ,EST,88,2206,803075,Sunday,January,13,Tevet,24,1908,BC,Sunday,July,19,Av,1,1902,BC,N,272,1026933.75,0,1,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Genesis 32:1-8,Jacob Makes Camp at Mahanaim,Jacob sends messengers ahead to Esau. The messengers return saying Esau is on his way to meet Jacob with 400 men.,EST,95,2206,803082,Sunday,January,20,Shevat,2,1908,BC,Sunday,July,26,Av,2,1902,BC,N,279,1026940.75,0,7,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Genesis 32:22-32,Jacob Wrestles With an Angel at Peniel,Jacob sends his family across the Jabbok stream at night. Jacob is left alone to wrestle with an Angel and is given the name Israel.,EST,96,2206,803083,Monday,January,21,Shevat,3,1908,BC,Monday,July,27,Av,3,1902,BC,N,280,1026941.75,0,1,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Genesis 33:1-16,Jacob Meets Esau After Many Years ,The next morning Jacob has a happy reunion with Esau. Afterwards Esau and his men leave for Seir (Edom). Jacob and his family head for Succoth.,EST,96,2206,803083,Monday,January,21,Shevat,3,1908,BC,Monday,July,27,Av,3,1902,BC,N,280,1026941.75,0,0,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Genesis 33:17,Jacob Goes to Succoth,"After meeting with Esau, Jacob goes to Succoth where he builds a house. This is about a four day journey. ",EST,100,2206,803087,Friday,January,25,Shevat,7,1908,BC,Friday,July,31,Av,7,1902,BC,N,284,1026945.75,0,4,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Genesis 33:18-20,Jacob Moves to Shechem and Builds Altar,"Jacob moves to Shechem which is located in the land of Canaan, according to Genesis 33:18. CD#79 is the DFC date for events happening between 1901 BC and 1897 BC. ",DFC,79,2213,805614,Friday,January,4,Tevet,15,1901,BC,Friday,July,2,Tammuz,13,1895,BC,N,255,1029472.75,6,343,78.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Genesis 34:1-7,Rape of Dinah Triggers Anger of Jacob's Sons,"This text records the rape of Jacob’s daughter, Dinah, and the anger of Jacob’s sons toward the men of Shechem. CD#79 is the DFC date for events happening between 1901 BC and 1897 BC.",DFC,79,2214,805978,Friday,January,4,Tevet,15,1900,BC,Friday,July,1,Tammuz,12,1894,BC,N,254,1029836.75,1,0,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Genesis 34:11-24,Men of Shechem Get Circumcised,"Hamor and his son Shechem, who wanted to marry Dinah, circumcise themselves and offer a dowry to pacify Jacob and his sons.",EST,81,2214,805980,Sunday,January,6,Tevet,17,1900,BC,Sunday,July,3,Tammuz,14,1894,BC,N,256,1029838.75,0,2,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Genesis 34:25-31,Simeon and Levi Kill and Plunder in Shechem,"When the men of Shechem were healing from being circumcised, Simeon and Levi, two of Jacob's sons, went into the town and killed the men who had been circumcised. This included Hamor and his son, Shechem, who had raped Dinah. They plundered their possessions and took their wives and children captive. ",EST,83,2214,805982,Tuesday,January,8,Tevet,19,1900,BC,Tuesday,July,5,Tammuz,16,1894,BC,N,258,1029840.75,0,2,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Genesis 35:1-4,God Instructs Jacob to Move to Bethel,God instructs Jacob and his family to move from Shechem to Bethel.,EST,84,2214,805983,Wednesday,January,9,Tevet,20,1900,BC,Wednesday,July,6,Tammuz,17,1894,BC,N,259,1029841.75,0,1,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Genesis 35:5-7,Jacob's Family Arrives in Bethel,,EST,93,2214,805992,Friday,January,18,Tevet,29,1900,BC,Friday,July,15,Tammuz,26,1894,BC,N,268,1029850.75,0,9,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Genesis 35:8,Rebekah's Nurse Deborah Dies in Bethel,,EST,169,2214,806068,Thursday,April,3,Nisan,16,1900,BC,Thursday,September ,29,Tishri,14,1894,BC,N,344,1029926.75,0,76,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Genesis 35:9-15,God Appears Again to Jacob,God tells Jacob he is to be called Israel and renews covenant to give the land he is now in to his descendants.,EST,170,2214,806069,Friday,April,4,Nisan,17,1900,BC,Friday,September ,30,Tishri,15,1894,BC,N,355,1029927.75,0,1,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Genesis 35:16-19,Birth of Benjamin-Twelfth Son of Jacob,"Benjamin, the second son born to Rachel, is the twelfth son of Jacob. At this point in time Jacob is 105 years old. ",EST,240,2214,806139,Friday,June,13,Sivan,28,1900,BC,Friday,December,9,Kislev,17,1894,BC,N,51,1029997.75,0,70,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Genesis 35:16-19,Death of Rachel-Wife of Jacob,"The birth of Benjamin causes the death of Jacob's wife, Rachel. Her tomb can still be seen just outside Bethlehem.",EST,240,2214,806139,Friday,June,13,Sivan,28,1900,BC,Friday,December,9,Kislev,17,1894,BC,N,51,1029997.75,0,0,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Genesis 35:21-22,Jacob Moves Just Beyond Tower of Eder,"After the death of Rachel, Jacob's family moves near the tower of Eder which is probably near Bethlehem. While living in this area, Jacob's son  Reuben lays with Bilhah. Bilhah is his father's concubine and the maid of Leah. She is also the mother of Reuben's brothers, Dan and Naphtali.",EST,247,2214,806146,Friday,June,20,Tammuz,5,1900,BC,Friday,December,16,Kislev,24,1894,BC,N,58,1030004.75,0,7,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Genesis 35:27,Jacob Moves to Mamre (Hebron) in Canaan,"Jacob has moved back to Canaan to be with his father, Isaac. Joseph would be taken to Egypt about two and a half years later.",EST,255,2214,806154,Saturday,June,28,Tammuz,13,1900,BC,Saturday,December,24,Tevet,2,1894,BC,N,66,1030012.75,0,8,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Genesis 37:1-11,Joseph Has a Dream of Future Greatness,,EST,58,2217,807049,Friday,December ,13,Kislev,24,1898,BC,Friday,June,6,Sivan,17,1891,BC,N,229,1030907.75,2,167,79.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Genesis 37:12-36,Joseph at 17 is Taken to Egypt,"On Friday, January 4 - Tevet 15, 1897 BC, Joseph is with his father Jacob at their home in Hebron in the land of Canaan.  Jacob and his family had moved from Bethel to Hebron two and a half years earlier after the death of Jacob’s wife, Rachel. Rachel died giving birth to Jacob’s youngest son, Benjamin just outside of Bethlehem. This event is described in Genesis 35:16-19. Benjamin was the only younger brother of Joseph who was also born to Rachel. Joseph had recently told his father and brothers about a dream in which his older brothers and “the sun, the moon, and the eleven stars bowed down to me”, as recorded in Genesis 37:5-10. Joseph had previously brought back a negative report about his brothers to his father Jacob. Jacob had seemingly rewarded him with a tunic of many colors and showed obvious favoritism to Joseph (Genesis 37:3). Jacob seemed to ignore the obvious hostility and resentment toward Joseph by his older brothers. Verse 12 tells us that Jacob had sent the other brothers off to Shechem, about 40 miles away, to feed one of their flocks of sheep. Jacob decides to send Joseph to check on his brothers and bring him back a report. This was a decision that Jacob would regret but was obviously part of God’s plan to move Jacob and his family to Egypt twenty-two years later. Two days later, Joseph arrived in Shechem but his brothers are not where he expected to find them. Verses 15-17 tell of a man who found Joseph wandering in a field at Shechem. Many think this man may have been an angel or messenger sent from God to direct Joseph to his brothers who had moved the flocks to Dothan, about 10 miles away. \pThe move to Dothan was very important since this put Joseph’s brothers in view of the trading routes between Gilead and Egypt. On Friday, January 4 at the age of 17, Joseph found his brothers feeding the flocks at Dothan. As soon as his brothers saw him coming they began to plan his demise. When Joseph’s oldest brother Reuben heard his brothers plan to kill Joseph, he suggested they just put Joseph in an empty pit or well. Verse 21 tells how Reuben’s plan was to put Joseph in a pit and then come back later to rescue him and take him to his father. The brothers grabbed Joseph and removed his beautiful multicolored tunic given to him as a special gift from their father, Jacob. They threw him into an empty pit with no water. This was probably a dry well. Verse 25 tells how the brothers sat down to eat a meal after Joseph was in the pit and Reuben was apparently not present at that moment. The brothers saw a caravan of Midianite traders passing by and at Judah’s suggestion sold Joseph into slavery. Midianites are also called Ishmaelites in verse 25 since they are descendants of Ishmael through his wife, Keturah described in Genesis 25:1-2. Joseph was sold into slavery for twenty shekels of silver. This was a common practice at this time in history among some non-Hebrew people. \pUnder Mosaic law at the time of the Exodus, 452 years later, kidnapping and selling an Israelite was punishable by the death penalty, according to Exodus 21:16 and Deuteronomy 24:7.  By 30 AD, the cost of a slave had only risen to 30 pieces of silver. This is the amount that Judas, the disciple of Jesus, got for betraying Jesus in the Garden of Gethsemane. Joseph was taken to Egypt and sold to Potiphar, “an officer of Pharaoh and captain of the guard”, as recorded in Verse 36. When Reuben came back to rescue Joseph from the pit, he was very grieved to find out that Joseph had been sold into slavery. He probably joined in the cover up since he would have been held responsible by his father since he was the oldest. The brothers killed a “kid of the goats” (Verse 31) and dipped the colorful tunic of Joseph into the young goat’s blood. They brought this to their father who identified the tunic as belonging to Joseph. Jacob assumed, from the evidence presented that his son, Joseph was dead. It is interesting to note that Jacob was deceived by his sons, in a similar way that he deceived his father, Isaac to steal the inheritance from Esau, as described in Genesis 27:18-19. Both stories involve the use of a freshly killed young goat in the deception. This might explain why Jacob does not seem very upset with his sons when he later finds out that Joseph is alive and he had been previously deceived by his sons. It would be 22 years later that Jacob would see Joseph in Egypt. At this point in history, Jacob is 108 years old. CD#79 is the DFC date for events happening between 1901 BC and 1897 BC.",DFC,79,2217,807070,Friday,January,4,Tevet,15,1897,BC,Friday,June,27,Tammuz,8,1891,BC,N,250,1030928.75,0,21,79.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Genesis 37:36,Joseph is Sold to Pharaoh's Officer Potiphar,"It is estimated that this happens about the same time that Joseph’s older brother, Judah leaves to visit Hirah, an Adulamite. Joseph is sold to Potiphar who is an officer of the Egyptian Pharaoh and captain of the guard. ",EST,110,2217,807101,Monday,February,5,Shevat,17,1897,BC,Monday,July,28,Av,10,1891,BC,N,281,1030959.75,0,31,79.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Genesis 38:1,Judah Leaves to Visit Hirah an Adullamite,This happens about the same time that Joseph's is sold to Potiphar in Egypt. ,EST,110,2217,807101,Monday,February,5,Shevat,17,1897,BC,Monday,July,28,Av,10,1891,BC,N,281,1030959.75,0,0,79.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Genesis 38:2-3,Judah Marries Shua: A Canaanite ,"It is estimated that Shua conceives Judah’s first son, Er about one month later.",EST,140,2217,807131,Wednesday,March,5,Adar,17,1897,BC,Wednesday,August,27,Elul,10,1891,BC,N,311,1030989.75,0,30,79.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Genesis 38:3,Birth of Er-First Son of Judah,This is a good example of an Estimated Date from Creation (EDFC). An EDFC date occurs when the exact number of years from Creation or another event is not stated and is estimated from other known text dates. The age of Judah is not stated when Er is born when he was with Shua. This is also the EDFC date of Judah’s 27th birthday which is more likely no more than a few years from the exact year that Judah begins his life as a married man. CD#80 is the DFC date for events happening between 1896 BC and 1892 BC.,EDFC,80,2218,807435,Saturday,January,5,Tevet,16,1896,BC,Saturday,June,27,Tammuz,8,1890,BC,N,250,1031293.75,0,304,79.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Genesis 38:4,Birth of Onan-Second Son of Judah,"The birth of Onan, second son of Judah by Shua, is also the EDFC date of Judah’s 28th birthday. CD#80 is the DFC date for events happening between 1896 BC and 1892 BC.",EDFC,80,2219,807799,Saturday,January,5,Tevet,16,1895,BC,Saturday,June,25,Tammuz,8,1889,BC,L,250,1031657.75,1,0,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Genesis 38:5,Birth of Shelah-Third Son of Judah,"Shelah, the third son of Shua, was born when Judah and his family were in Chezib. At this point in time, Jacob is 111, Judah is 29, and Joseph is 20 DFC years. CD#80 is the DFC date for events happening between 1896 BC and 1892 BC.",EDFC,80,2220,808163,Saturday,January,5,Tevet,16,1894,BC,Saturday,June,24,Tammuz,5,1888,BC,N,247,1032021.75,1,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Genesis 39:11-23,Joseph Accused of Trying to Seduce Potiphar's Wife,Joseph is put in prison for two years when he is 28 years old. CD#82 is the DFC date for events happening between 1886 BC and 1882 BC.,DFC,82,2228,811077,Monday,January,7,Tevet,18,1886,BC,Monday,June,16,Sivan,27,1880,BC,N,239,1034935.75,8,2,81.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Genesis 35:27-29,Death of Isaac-Son of Abraham at 180,"Isaac dies having lived 180 DFC years plus 36 days. Jacob and Esau buried their father. This was a reunion of brothers similar to Isaac and Ishmael at the death of Abraham in Genesis 25:9. This also fulfilled Jacob’s Bethel vow in Genesis 28:20 to, “come back to my father’s house in peace”. Jacob and Esau are now 120 years old in DFC years. CD#82 is the DFC date for events happening between 1886 BC and 1882 BC.",DFC,82,2229,811441,Monday,January,7,Tevet,18,1885,BC,Monday,June,15,Sivan,26,1879,BC,N,238,1035299.75,1,0,81.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Genesis 40:1-4,Pharaoh's Butler and Baker Imprisoned With Joseph,,EST,58,2230,811781,Friday,December,13,Kislev ,24,1885,BC,Friday,May,21,Sivan,1,1878,BC,N,213,1035639.75,0,340,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Genesis 40:5-19,Joseph Interprets Pharaoh's Butler and the Baker's Dreams,,EST,72,2230,811795,Friday,December,27,Tevet,8,1885,BC,Friday,June,4,Sivan,15,1878,BC,N,227,1035653.75,0,14,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Genesis 40:20-23,Butler Restored to Pharaoh and Baker Hanged,"After three days, the Butler is restored to Pharaoh and the Baker is hanged. Both dream interpretations of Joseph were accurate. ",EST,75,2230,811798,Monday,December,30,Tevet,11,1885,BC,Monday,June ,7,Sivan,18,1878,BC,N,230,1035656.75,0,3,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Genesis 41:1-36,Joseph Released to Interpret Pharaoh's Dream,This event occurs exactly two DFC years after Joseph is put in prison. CD#82 is the DFC date for events happening between 1886 BC and 1882 BC.,DFC,82,2230,811805,Monday,January,7,Tevet,18,1884,BC,Monday,June,14,Sivan,25,1878,BC,N,237,1035663.75,0,7,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Genesis 41:37-57,Joseph Becomes Prime Minister of Egypt,Joseph is 30 DFC years old when he becomes Prime Minister of Egypt.,DFC,82,2230,811805,Monday,January,7,Tevet,18,1884,BC,Monday,June,14,Sivan,25,1878,BC,N,237,1035663.75,0,0,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Genesis 38:6-7,Er-Son of Judah Marries Tamar,"Er, first son of Judah is estimated to be about fifteen years old when he marries Tamar. He dies soon afterwards with no heir due to his wickedness. CD#83 is the DFC date for events happening between 1881 BC and 1877 BC.",EDFC,83,2233,812898,Tuesday,January,8,Tevet,19,1881,BC,Tuesday,June,11,Sivan ,22,1875,BC,N,234,1036756.75,3,1,82.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Genesis 38:8-10,Judah Has Second Son Onan Marry Tamar,Onan deliberately spills his seed and is killed because he displeased God. CD#83 is the DFC date for events happening between 1881 BC and 1877 BC.,EDFC,83,2234,813262,Tuesday,January,8,Tevet,19,1880,BC,Tuesday,June,10,Sivan,21,1874,BC,N,233,1037120.75,1,0,82.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Genesis 38:11,Judah Tells Tamar to Live With Her Father,"Judah tells Tamar to live with her father until his third son, Shelah is grown. It is assumed Shelah will be considered grown in a short period of time.",EST,174,2234,813353,Tuesday,April,8,Nisan,21,1880,BC,Tuesday,September ,9,Elul,23,1874,BC,N,324,1037211.75,0,91,82.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Genesis 38:12-18,Tamar Plays the Harlot With Judah,"Judah’s wife dies and his son, Shelah, does not marry Tamar as Judah promised. Judah does not recognize Tamar disguised as a harlot and is tricked into getting her pregnant.",EST,174,2235,813717,Tuesday,April,8,Nisan,21,1879,BC,Tuesday,September ,7,Elul,23,1873,BC,L,324,1037575.75,1,0,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Genesis 38:20-26,Judah is Told Tamar is Pregnant,,EST,265,2235,813808,Tuesday,July,8,Tammuz,23,1879,BC,Tuesday,December,7,Kislev,17,1873,BC,L,51,1037666.75,0,91,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Genesis 38:27-30; Luke 3:33,Tamar Gives Birth to Perez and Zerah,"It is estimated that Judah is 45 DFC years old plus nine days when Tamar gives birth to twins. Perez, the first of the twins born to Tamar and Judah, is a direct ancestor of King David and Jesus through Boaz and Ruth. This connection is clarified in Ruth 4:18-22 and Matthew 1:3-6. The Calendar Day Number (CD#83) is one-fifth of the number of completed years since Creation Week. CD#83 is the DFC date for events happening between 1881 BC and 1877 BC.",EDFC,83,2236,813990,Tuesday,January,8,Tevet,19,1878,BC,Tuesday,June,7,Sivan,18,1872,BC,N,230,1037848.75,0,182,83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Genesis 42:1-5,Joseph's Brothers Leave Hebron for Egypt,,EST,278,2238,814913,Monday,July,21,Av,7,1876,BC,Monday,December,17,Kislev,25,1870,BC,N,59,1038771.75,2,195,83.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Genesis 42:6-17,Joseph's Brothers Arrive in Egypt ,,EST,297,2238,814932,Saturday,August,10,Av,26,1876,BC,Saturday,January,5,Tevet,14,1869,BC,L,78,1038790.75,0,19,83.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Genesis 42:14-17,Josephs Brothers Jailed Three Days,,EST,300,2238,814935,Tuesday,August ,13,Av,29,1876,BC,Tuesday,January,8,Tevet,17,1869,BC,L,81,1038793.75,0,3,83.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
